object_id;adres;postcode;plaats;capaciteit_personen;aantal_slaapkamers;huurder_naam;huurder_id;verhuur_startdatum;verhuur_einddatum;verhuur_excl_btw;gwe_verantwoordelijk;voorschot_gwe_standaard;verhuur_voorschot_gwe;verhuur_overige_kosten;eigenaar_id;eigenaar_naam;inhuur_excl_btw;inhuur_borg;inhuur_startdatum;inhuur_einddatum;inhuur_vve_kosten;inhuur_overige_kosten;inhuur_internet_kosten;inhuur_voorschot_gwe
0268;Persoonsdam 198;3071EE;Rotterdam;3;3;Flexvesting B.V.;172;2025-04-01;2026-04-01;2405,0;ryanrent;150,0;150,0;0,0;830;Transformatiehaven BV;1917,31;0,0;2023-11-01;2024-10-31;0,0;0,0;0,0;0,0
0324;Van Swinderenstraat 21;7741 VK;Coevorden;4;4;Flexvesting B.V.;172;2025-03-01;2026-02-28;2350,0;ryanrent;250,0;250,0;0,0;837;E. Beukema;1800,0;0,0;;;0,0;0,0;0,0;0,0
0087;Jasmijnring 37;4881HT;Zundert;6;4;H.T.C. Facility Services B.V.;136;2025-10-03;2026-10-02;3600,0;ryanrent;350,0;350,0;0,0;824;Vivir wonen (Mendy);2446,35;0,0;2024-05-08;2025-05-07;0,0;0,0;0,0;0,0
0369;Oranjestraat 63;3111AN;Schiedam;2;2;H.T.C. Facility Services B.V.;136;2025-08-15;2026-08-14;1750,0;ryanrent;150,0;150,0;0,0;359;Kwekerij Stef Kleijweg;1175,0;0,0;2025-08-01;2027-07-31;0,0;0,0;0,0;0,0
0344;Pastoor Gilisstraat 81-A;5121CC;Rijen;6;6;Housing en Transport Facilities BV;88;2025-08-15;2026-08-14;4000,0;ryanrent;400,0;400,0;0,0;681;Edward Bosch;3000,0;0,0;2025-03-01;2026-03-01;0,0;0,0;0,0;0,0
0055;Baanhoek 139;3361 GC;Sliedrecht;4;4;HousingWell B.V.;310;2025-01-01;;3029,47;ryanrent;250,0;250,0;0,0;852;R. Verspui;2082,0;0,0;2024-06-30;2025-06-29;0,0;0,0;0,0;0,0
0040;Beatrixstraat 3;3181GA;Rozenburg;3;3;Impes Service S.p.A.;220;2025-10-10;2026-10-09;3300,0;ryanrent;250,0;250,0;0,0;180;Mw. M. Hyllested Poulsen en Dhr. S. Crull;2307,0;0,0;2022-10-01;2024-05-05;0,0;0,0;0,0;0,0
0090;Laan van Nieuw Blankenburg 278;3181AL;Rozenburg ;4;3;Impes Service S.p.A.;220;2023-05-22;;3055,46;ryanrent;200,0;200,0;0,0;818;HC van Os - Remeeus;2400,0;0,0;2021-06-01;2024-05-31;0,0;0,0;0,0;0,0
0114;Piersonstraat 8;3119RG;Schiedam;3;3;Impes Service S.p.A.;220;2025-12-19;2026-12-18;2650,0;ryanrent;200,0;200,0;0,0;7;Maatschap J.W. Meershoek & W.M. Meershoek;1191,08;0,0;2019-09-21;;0,0;0,0;0,0;0,0
0007;Adriaan Baasstraat 34;7902HN;Hoogeveen;4;4;InAxtion Vastgoed B.V.;154;2025-04-18;2026-04-17;2450,0;ryanrent;250,0;250,0;0,0;790;Eva Laus;1650,0;0,0;2022-05-01;2024-04-30;0,0;0,0;0,0;0,0
0101;Moureauveld 8;4702MA;Roosendaal;4;4;I–Housing Vastgoed Beheer B.V.;358;2025-12-05;2026-12-04;3050,0;ryanrent;250,0;250,0;0,0;824;Vivir wonen (Mendy);2196,51;0,0;2023-02-01;2024-01-31;0,0;0,0;0,0;0,0
0059;Dieptol 63;8332BK;Steenwijk ;6;6;Kapitan Workers Sp. Z.o.o.;367;2025-10-01;2026-09-30;3700,0;ryanrent;400,0;400,0;0,0;801;P. Ter Haar - Ros;2491,2;0,0;2023-03-01;2024-02-29;0,0;0,0;0,0;0,0
0064;Enk 6;7621ES;Borne;5;4;Lago Personeelshuisvesting B.V.;98;2023-05-05;;2253,77;eigen_beheer;0,0;0,0;0,0;168;F. Veurink en P. Neleman;2100,0;0,0;2022-07-01;2025-06-30;0,0;0,0;0,0;0,0
0386;Poolsestraat 29a;3028EN;Rotterdam;5;3;Light Personeelsdiensten;48;2025-11-01;2026-10-31;3250,0;ryanrent;300,0;300,0;0,0;832;R. Basil;2060,0;0,0;2025-11-01;2026-10-31;0,0;0,0;0,0;0,0
0356;Akkerweg 41 [huis 36];1779GJ;Den Oever;3;3;MNA Proud Facilities B.V.;348;2025-07-15;2027-07-14;2100,0;ryanrent;250,0;250,0;0,0;726;Cris;1817,91;0,0;2025-07-15;2027-04-14;0,0;0,0;0,0;0,0
0179;Rooseveltlaan 185;4624DM;Bergen op Zoom;6;4;N2people B.V.;372;2025-11-07;2026-05-06;3800,0;ryanrent;300,0;300,0;0,0;590;Digo Real Estate BV;2790,5;0,0;;;0,0;0,0;0,0;0,0
0385;Lavendelpad 6;2691NP;S-GRAVENZANDE;6;4;OJP B.V.;123;2025-10-10;;4568,0;eigen_beheer;0,0;0,0;0,0;172;Flexvesting B.V.;4200,0;0,0;2025-10-10;;0,0;0,0;0,0;0,0
0006;Enschotsestraat 163;5014 DD;Tilburg;8;8;Optima Uitzendbureau B.V.;353;2025-06-21;2026-06-21;4575,0;eigen_beheer;0,0;0,0;0,0;763;T. Eenhuistra/J. Pluimakers;4300,0;0,0;2025-08-01;2027-08-01;0,0;0,0;0,0;0,0
0332;Kerkweg 9a [huis 340];1711RR;Hensbroek;6;3;Orange Investments Group;84;2025-04-18;2026-04-17;3685,0;ryanrent;350,0;350,0;85,0;849;Chalet Park Holiday;2769,81;0,0;2025-01-24;2026-01-24;0,0;0,0;0,0;0,0
0159;Kastanjelaan 232;4621HM;Bergen op Zoom;4;3;PRP Solutions Flex Sp. Z.O.O;336;2025-05-21;2026-03-20;2750,0;ryanrent;250,0;250,0;0,0;542;Hopmans Flexstay;2231,81;0,0;;;0,0;0,0;0,0;0,0
0387;Verschansing 21 ;3181NG;Rozenburg;6;4;RNDV Industries;329;2025-10-30;2026-03-31;4350,0;ryanrent;350,0;350,0;0,0;84;Orange Investments Group;2470,0;0,0;2025-10-30;2026-03-31;0,0;0,0;0,0;0,0
0125;Korte Singelstraat 21-3;3112 GA;Schiedam;2;3;S. Bakker OPH Verhuur;23;2026-01-09;2027-01-08;1700,0;ryanrent;100,0;100,0;0,0;258;Parkwonen;1500,0;0,0;2024-02-01;2025-02-01;0,0;0,0;0,0;0,0
0126;Korte Singelstraat 21-2;3112 GA;Schiedam;3;3;S. Bakker OPH Verhuur;23;2026-01-09;2027-01-08;2500,0;ryanrent;150,0;150,0;0,0;258;Parkwonen;1500,0;0,0;2024-02-01;2025-02-01;0,0;0,0;0,0;0,0
0388;1e Middellandstraat 104A;3021BH;Rotterdam;2;2;S. Bakker OPH Verhuur;23;2025-10-31;2026-03-31;1800,0;ryanrent;200,0;200,0;0,0;751;Orange Invesments Group;1100,0;0,0;2025-10-31;2026-03-31;0,0;0,0;0,0;0,0
0389;Kritostraat 54;3076BH;Rotterdam;3;3;S. Bakker OPH Verhuur;23;2025-11-14;2026-03-31;2550,0;ryanrent;200,0;200,0;0,0;751;Orange Invesments Group;1365,0;0,0;2025-11-14;2026-03-31;0,0;0,0;0,0;0,0
0397;Boogertstraat 5A;3141VN;Maassluis;3;3;S. Bakker OPH Verhuur;23;2026-01-01;2026-12-31;2815,0;ryanrent;0,0;150,0;0,0;145;dockHolland Huisvesting B.V.;2080,0;0,0;2026-01-01;2026-12-31;0,0;0,0;0,0;0,0
0398;Boogertstraat 7A;3141VN;Maassluis;3;3;S. Bakker OPH Verhuur;23;2026-01-01;2026-12-31;2815,0;ryanrent;0,0;150,0;0,0;145;dockHolland Huisvesting B.V.;2080,0;0,0;2026-01-01;2026-12-31;0,0;0,0;0,0;0,0
0138;Westercluft;8332 AH;Steenwijk ;6;6;Stay21;89;2025-10-10;2026-10-09;3675,0;ryanrent;350,0;350,0;0,0;164;Dhr. R. Bekken;2705,0;0,0;;;0,0;0,0;0,0;0,0
0143;Willem Lodewijkstraat 8;8801EL;Franeker;3;3;Team Home Rentals B.V.;30;2025-05-08;;2200,0;ryanrent;200,0;200,0;0,0;844;S. Bakker / Eigenaar.nl;1073,27;0,0;2020-03-04;2021-04-30;0,0;0,0;0,0;0,0
0049;Bornerbroeksestraat 129A;7601BE;Almelo;4;4;Team Unica B.V.;286;2025-11-21;2026-03-20;2600,0;ryanrent;250,0;250,0;0,0;175;Dhr. J.L. Meerding;1972,46;0,0;2022-09-01;2027-08-31;0,0;0,0;0,0;0,0
0002;Allard Piersonlaan 142;2522 MT;Den Haag;4;3;Tradiro Services B.V.;17;2026-01-14;;1416,85;ryanrent;0,0;0,0;25,1;975;Dhr R Paltan;1416,85;2750,0;2023-01-20;2024-05-23;;0,0;0,0;25,0
0009;Galgeweg 48-A;2691MG;s-Gravenzande;6;3;Tradiro Services B.V.;17;2026-01-14;;3643,5;ryanrent;95,2;773,78;50,37;;;;;;;;;;
0015;Maasdijk 69 ;2691NZ;S-Gravenzande;4;3;Tradiro Services B.V.;17;2026-01-14;;3400,0;ryanrent;2470,8;2470,8;0,0;;;;;;;;;;
0025;Groenelaan 30B;3114 CH;Schiedam;3;3;Tradiro Services B.V.;17;2025-05-30;;1430,0;eigen_beheer;190,22;190,22;117,18;198;RyanRent B.V.;900,0;0,0;2023-01-01;2024-01-01;0,0;0,0;0,0;0,0
0030;Curacaolaan 88;3131 XD;Vlaardingen;4;2;Tradiro Services B.V.;17;2026-01-14;;895,0;ryanrent;297,55;297,55;354,76000000000005;993;Tradiro Housing BV;895,0;;2018-08-01;2019-07-31;;0,0;0,0;100,0
0042;Parallelweg 110A;3131 DK;Vlaardingen;5;3;Tradiro Services B.V.;17;2025-01-01;;2082,0;eigen_beheer;0,0;0,0;22,82;;;;;;;;;;
0057;Markt 5 ;3142 GE;Maassluis;8;6;Tradiro Services B.V.;17;2026-01-14;;1715,6;ryanrent;395,02;395,02;43,39;;;;;;;;;;
0079;Ploegstraat 2a;3114NP;Schiedam;4;2;Tradiro Services B.V.;17;2024-06-01;;1734,98;eigen_beheer;107,58;107,58;0,0;271;Houses2Rent;1300,0;0,0;;;0,0;0,0;0,0;0,0
0080;Voorstraat 25;3135HV;Vlaardingen;4;2;Tradiro Services B.V.;17;2025-06-06;;2420,0;ryanrent;553,95;250,0;0,0;271;Houses2Rent;1300,0;0,0;;;0,0;0,0;0,0;0,0
0088;Kethelweg 66A;3135 GM;Vlaardingen;5;3;Tradiro Services B.V.;17;2025-04-04;;2593,81;eigen_beheer;151,41;151,41;0,0;258;Parkwonen;1600,0;0,0;2024-06-01;2025-06-01;0,0;0,0;0,0;0,0
0095;Engelsestraat 16L3;3028CG;Rotterdam;4;2;Tradiro Services B.V.;17;2025-01-01;;1993,32;eigen_beheer;58,43;58,43;25,1;976;IN STONES;1325,0;0,0;2018-08-06;2019-07-31;0,0;0,0;0,0;0,0
0097;Burchstraat 16A;4501 BJ;Oostburg;7;7;Tradiro Services B.V.;17;2025-07-25;;4000,0;ryanrent;450,0;450,0;0,0;302;A.H.S. Willemsen;2607,5;0,0;2024-05-01;2026-04-30;0,0;0,0;0,0;0,0
0103;Narcissenstraat 23;3181 WT;Rozenburg;3;2;Tradiro Services B.V.;17;2025-06-03;;1700,0;eigen_beheer;250,0;250,0;24,3;17;Tradiro Services B.V.;1235,96;0,0;2023-03-01;2024-02-28;0,0;0,0;0,0;300,0
0111;Oosterstraat 89;3134NN;Vlaardingen;6;3;Tradiro Services B.V.;17;2026-01-14;;1569,3;ryanrent;315,48;315,48;0,0;;;;;;;;;;
0120;Plaats 10;3417EC;Montfoort;4;4;Tradiro Services B.V.;17;2026-01-14;;2300,0;ryanrent;250,0;250,0;0,0;291;Johan van der Burg;2000,0;0,0;2024-04-01;2026-03-31;0,0;0,0;0,0;0,0
0133;Herenpad 20A;3111 LP;Schiedam;2;2;Tradiro Services B.V.;17;2026-01-14;;2075,05;ryanrent;234,76;234,76;0,0;602;Westhavendomein BV;1575,0;0,0;;;0,0;0,0;0,0;0,0
0134;Herenpad 20 B;3111 LN ;Schiedam;3;3;Tradiro Services B.V.;17;2026-01-14;;992,34;ryanrent;0,0;0,0;0,0;;;;;;;;;;
0148;2e Maasbosstraat 2 a;3134XJ;Vlaardingen;;;Tradiro Services B.V.;17;2025-01-01;;1570,24;eigen_beheer;69,48;179,57;67,35;978;Adriaan Jacobus Maat;1570,24;2500,0;2017-03-01;2017-12-31;0,0;0,0;0,0;0,0
0149;2e Maasbosstraat 2 b;3134XJ;Vlaardingen;5;5;Tradiro Services B.V.;17;2025-01-01;;1570,24;eigen_beheer;52,12;168,87;69,57;971;JS Vastgoed;1570,24;1250,0;2017-03-01;2017-12-31;0,0;0,0;0,0;0,0
0150;2e Maasbosstraat 2 c;3134XJ;Vlaardingen;5;5;Tradiro Services B.V.;17;2025-01-01;;1475,31;eigen_beheer;44,04;106,43;69,56;978;Adriaan Jacobus Maat;1475,31;1150,0;2017-03-01;2017-12-31;0,0;0,0;0,0;0,0
0156;Broersvest 74 c;3112DG;SCHIEDAM;3;3;Tradiro Services B.V.;17;2026-01-14;;2051,51;ryanrent;91,65;165,62;69,56;974;Conmihace Varrdinry Lrol;;;2015-03-12;2015-09-11;;0,0;0,0;0,0
0160;Chopinstraat 33C;3131DB;Vlaardingen;3;3;Tradiro Services B.V.;17;2025-01-01;;1300,0;eigen_beheer;230,16;230,16;25,1;295;In Stijl Totaalbouw BV;1300,0;0,0;;;0,0;0,0;0,0;0,0
0162;Coornhertstraat 95 ;3132GB;VLAARDINGEN;2;2;Tradiro Services B.V.;17;2026-01-14;;1557,73;ryanrent;223,96;223,96;25,1;989;Nikozijn B.V.;844,55;0,0;2018-05-01;;170,45;0,0;0,0;0,0
0163;Curacaolaan 24;3131XC;VLAARDINGEN;3;3;Tradiro Services B.V.;17;2026-01-14;;3269,0;ryanrent;406,25;406,25;43,9;;;;;;;;;;
0165;De Driesprong 17;2295LL;KWINTSHEUL;4;4;Tradiro Services B.V.;17;2025-01-01;;4140,0;eigen_beheer;902,75;902,75;50,37;988;Ruud van der Hoeven BV & Raymond Vijverberg BV;5048,0;;2023-01-04;2024-12-31;;0,0;0,0;185,0
0170;Goudestein 30;3085 DB;Rotterdam;3;3;Tradiro Services B.V.;17;2026-01-14;;1327,0;ryanrent;2374,49;2374,49;25,1;;;;;;;;;;
0172;Groeneweg 127;2691ML;'S-GRAVENZANDE;3;3;Tradiro Services B.V.;17;2026-01-14;;2650,0;ryanrent;711,47;711,47;0,0;;;;;;;;;;
0173;Groeneweg 71 ;2691MK;S-GRAVENZANDE;4;3;Tradiro Services B.V.;17;2026-01-14;;1850,0;ryanrent;424,43;424,43;50,37;791;Tradiro;;;;;;0,0;0,0;
0174;Groeneweg 74;2691MR;'S-GRAVENZANDE;2;2;Tradiro Services B.V.;17;2026-01-14;;1916,0;ryanrent;200,0;200,0;50,37;981;Drift Oud camp 8.V.;1250,0;;2018-05-18;2018-06-15;;0,0;0,0;0,0
0175;Hagastraat 8;3114ND;Schiedam;2;2;Tradiro Services B.V.;17;2026-01-14;;1451,23;ryanrent;208,34;208,34;69,56;968;T. Xie;1200,0;1200,0;2019-03-01;2020-03-01;;0,0;0,0;0,0
0176;Herautpad 22 ;3119DL;Schiedam;2;2;Tradiro Services B.V.;17;2025-01-01;;1125,0;eigen_beheer;116,38;116,38;67,35;295;In Stijl Totaalbouw BV;1125,0;0,0;;;0,0;0,0;0,0;0,0
0177;Hoge Noordweg 27B;2671DZ;NAALDWIJK;4;3;Tradiro Services B.V.;17;2026-01-14;;2700,0;ryanrent;1144,0;1144,0;53,72;;;;;;;;;;
0178;Hoge Noordweg 28;2671DZ;NAALDWIJK;4;3;Tradiro Services B.V.;17;2026-01-14;;2800,0;ryanrent;11040,15;11040,15;53,72;966;Gebr. WMJ, LNJ, AAJ en MWJ van Holstein;2700,0;1350,0;2018-10-05;2019-10-04;;0,0;0,0;0,0
0180;Liesveld 100;3131CM;VLAARDINGEN;;;Tradiro Services B.V.;17;2026-01-14;;1270,97;ryanrent;336,51;336,51;24,3;;;;;;;;;;
0183;Hugo de Vriesstraat 54 ;3132TG;VLAARDINGEN;5;3;Tradiro Services B.V.;17;2026-01-14;;895,0;ryanrent;189,37;189,37;325,1;993;Tradiro Housing BV;895,0;;2018-07-01;2019-08-31;;0,0;0,0;
0184;Mathenesserdijk 261 C03;3027AK;Rotterdam;3;3;Tradiro Services B.V.;17;2026-01-14;;1545,73;ryanrent;200,0;0,0;0,0;17;Tradiro Services B.V.;1545,73;0,0;;;0,0;0,0;0,0;0,0
0186;Woutersweg 20;2691 PR; 's-Gravenzande;4;3;Tradiro Services B.V.;17;2025-01-01;;2600,0;eigen_beheer;1888,57;1888,57;27,44;17;Tradiro Services B.V.;2600,0;5200,0;2023-06-01;2024-05-31;0,0;0,0;0,0;0,0
0191;Jan van Arkelstraat 118;3132VP;VLAARDINGEN;3;3;Tradiro Services B.V.;17;2026-01-14;;895,0;ryanrent;203,11;203,11;210,1;993;Tradiro Housing BV;895,0;;2018-09-01;2019-08-31;;0,0;0,0;
0193;Kapershoek 11;3085ED;Rotterdam;4;2;Tradiro Services B.V.;17;2026-01-14;;1400,53;ryanrent;190,11;190,11;25,1;969;JES Funding en Beheer B.V.;1400,53;1075,0;2021-07-01;2023-06-30;0,0;0,0;0,0;0,0
0194;Keesomstraat 22;3132TJ;VLAARDINGEN;2;2;Tradiro Services B.V.;17;2026-01-14;;2336,0;ryanrent;971,97;971,97;43,11;980;Jan Peter Stoel;1750,0;1750,0;2019-06-14;2020-02-14;0,0;0,0;0,0;0,0
0195;Keesomstraat 50 ;3132TJ;VLAARDINGEN;3;3;Tradiro Services B.V.;17;2026-01-14;;895,0;ryanrent;236,33;236,33;230,45;993;Tradiro Housing BV;895,0;;2018-09-01;2019-08-31;;0,0;0,0;
0196;Keesomstraat 54;3132TJ;VLAARDINGEN;3;3;Tradiro Services B.V.;17;2026-01-14;;1405,0;ryanrent;276,32;276,32;25,1;986;Ceysun Akbasoglu;1200,0;1200,0;2020-04-01;2021-03-31;;0,0;0,0;0,0
0199;Kerstendijk 125;3079EV;Rotterdam;3;3;Tradiro Services B.V.;17;2026-01-14;;1200,0;ryanrent;519,95;519,95;25,1;17;Tradiro Services B.V.;1200,0;0,0;;;0,0;0,0;0,0;0,0
0205;Kreekrug 1;2678PR;DE LIER;;;Tradiro Services B.V.;17;2026-01-14;;4800,0;ryanrent;475,0;475,0;0,0;994;Tradiro Services BV;5507,0;0,0;2049-01-01;2019-12-31;;0,0;0,0;
0206;Kruiningenstraat 152;3086KS;Rotterdam;4;2;Tradiro Services B.V.;17;2026-01-14;;1552,05;ryanrent;240,59;240,59;25,1;;;;;;;;;;
0207;Kwikstaartweg 45;3136JH;Vlaardingen;3;2;Tradiro Services B.V.;17;2025-01-01;;1970,0;eigen_beheer;350,03;350,03;30,0;973;Dhr. J. P. L. Giessen;2180,0;3200,0;2018-06-04;2019-06-03;30,0;0,0;0,0;30,0
0208;Mr. L.A. Kesperweg 31A;3135BS;VLAARDINGEN;3;2;Tradiro Services B.V.;17;2026-01-14;;895,0;ryanrent;189,37;189,37;211,44;993;Tradiro Housing BV;895,0;;2018-02-01;2019-01-31;;0,0;0,0;
0210;Lorentzstraat 73;3132SP;Schiedam;5;3;Tradiro Services B.V.;17;2026-01-14;;1865,5;ryanrent;345,28;345,28;25,2;987;Caner Duman;1865,5;1750,0;2018-06-01;2019-06-01;0,0;0,0;0,0;0,0
0213;Mr. Troelstrastraat 11;3131HR;VLAARDINGEN;3;2;Tradiro Services B.V.;17;2026-01-14;;895,0;ryanrent;283,56;283,56;175,1;993;Tradiro Housing BV;895,0;;2018-02-01;2019-01-31;;0,0;0,0;
0214;Mendelssohnplein 13D;3131RD;VLAARDINGEN;4;4;Tradiro Services B.V.;17;2026-01-14;;2801,0;ryanrent;96,38;96,38;43,9;971;JS Vastgoed;2250,0;2250,0;2019-03-01;2019-08-31;300,0;0,0;0,0;0,0
0215;Mendelssohnplein 10C;3131RD;VLAARDINGEN;8;8;Tradiro Services B.V.;17;2026-01-14;;2801,0;ryanrent;75,67;75,67;43,9;971;JS Vastgoed;2000,0;2000,0;2018-08-30;2019-01-31;;0,0;0,0;
0216;Mendelssohnplein 46a;3131RK;VLAARDINGEN;4;3;Tradiro Services B.V.;17;2026-01-14;;1561,5;ryanrent;569,98;569,98;35,0;17;Tradiro Services B.V.;1500,0;1500,0;2019-07-22;2020-07-22;;0,0;0,0;100,0
0217;Middelrode 8;3085CR;Rotterdam;3;3;Tradiro Services B.V.;17;2026-01-14;;1400,53;ryanrent;91,33;91,33;25,1;969;JES Funding en Beheer B.V.;1400,53;1075,0;2021-07-01;2023-06-30;0,0;0,0;0,0;0,0
0219;Miltonstraat 55;3076TG;Rotterdam;2;2;Tradiro Services B.V.;17;2026-01-14;;1345,37;ryanrent;88,84;88,84;25,1;969;JES Funding en Beheer B.V.;1175,0;1175,0;2021-07-01;;0,0;0,0;0,0;0,0
0221;Molenstraat 10;2671EX;Naaldwijk;6;6;Tradiro Services B.V.;17;2025-01-01;;2088,66;eigen_beheer;1600,0;1600,0;72,57;972;W.M. v. d. Haak beheer b.v.;2088,66;1520,0;2019-05-17;2020-05-16;;0,0;0,0;0,0
0222;Molenstraat 23;2671EW;Naaldwijk;4;4;Tradiro Services B.V.;17;2025-01-01;;1282,51;eigen_beheer;477,68;477,68;43,39;967;W.M. v.d. Haak Beheer B.V.;1282,51;1120,0;2020-06-01;2021-06-01;;0,0;0,0;0,0
0227;Oostlaan 3 ;2678NK;DE LIER;4;4;Tradiro Services B.V.;17;2025-01-01;;2561,5;eigen_beheer;463,53;463,53;0,0;656;Uitzendburo Tradiro B.V.;2561,5;;;;;0,0;0,0;
0228;Parallelweg 122A ;3131DL;VLAARDINGEN;;;Tradiro Services B.V.;17;2026-01-14;;895,0;ryanrent;381,26;381,26;135,1;993;Tradiro Housing BV;895,0;;2018-02-01;2019-01-31;;0,0;0,0;
0229;Parallelweg 98B;3131DJ;VLAARDINGEN;4;4;Tradiro Services B.V.;17;2026-01-14;;1397,0;ryanrent;167,62;167,62;25,1;986;Ceysun Akbasoglu;1200,0;1200,0;2020-02-01;2021-01-03;;0,0;0,0;0,0
0230;Pasteursingel 61;3028EJ;Rotterdam;6;3;Tradiro Services B.V.;17;2025-01-01;;1776,0;eigen_beheer;450,0;450,0;25,1;985;De heer Hamid Reza Arya Barzin h.o.d.n. Arya Diensten;2226,0;1550,0;2020-12-01;2021-12-01;;0,0;0,0;200,0
0231;Platostraat 80;3076BP;Rotterdam;4;2;Tradiro Services B.V.;17;2026-01-14;;1200,0;ryanrent;266,32;266,32;25,1;965;S.H.M. De Swart;1075,0;1075,0;2020-01-01;2020-12-31;;0,0;0,0;0,0
0232;Zuidhoek 209D;3082PH;Rotterdam;4;2;Tradiro Services B.V.;17;2026-01-14;;1872,0;ryanrent;95,6;95,6;25,1;17;Tradiro Services B.V.;1673,0;0,0;;;0,0;0,0;0,0;0,0
0233;Rembrandtstraat 20B;2671GD;Naaldwijk;3;2;Tradiro Services B.V.;17;2025-01-01;;1603,14;eigen_beheer;2877,7;2877,7;43,39;967;W.M. v.d. Haak Beheer B.V.;1603,14;1120,0;2020-06-01;2021-06-01;;0,0;0,0;0,0
