Datum;Grootboekrekening;Omschrijving;Relatie;Debit;Credit
21-03-2025;1200 - Debiteuren;Workforce Housing Inter-national  25800256 - Borgsom 2150 (V;100174 - Workforce Housing Holland B.V.;; 4.311,24 
11-03-2025;1200 - Debiteuren;Venkelstraat 29a Brielle borg en afrekening;50222 - Flexvesting B.V.;; 13,54 
26-03-2025;1200 - Debiteuren;Voorstraat 10 Oude Tonge borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN; 3.466,66 ;
24-03-2025;1601 - Btw verkoop, laag tarief (9%);Scheepjesbrug 433  Meerkerk 2025-3 22-3 + borg;100137 - Estra Logistics Systems B.V.;; 112,44 
11-03-2025;1601 - Btw verkoop, laag tarief (9%);Willem de rijkelaan 134 Waddinxveen 2025-01 + borg;100126 - Timing Uitzendteam BV;; 209,71 
24-03-2025;1601 - Btw verkoop, laag tarief (9%);Marnixstraat 32 Hengelo 2025-3 25-3 + borg;50222 - Flexvesting B.V.;; 51,20 
24-03-2025;1600 - Btw verkoop, hoog tarief (21%);Heemskerkstraat 19, Lutjegast 2025-03+ borg;50282 - DIT en Larex Vakpersoneel B.V.;; 160,65 
24-03-2025;1601 - Btw verkoop, laag tarief (9%);Amberberg 14 Roosendaal 2025-4 + borg;100151 - 4 Homes B.V.;; 263,64 
24-03-2025;1200 - Debiteuren;Enschotsestraat 163  Tilburg 2025-3 + borg;100191 - Buurman Vastgoed E B.V.; 10.265,32 ;
14-03-2025;1100 - NL76INGB0008980173;NL Realty B.V.  710336 32264 25800626   febr borg 25800626;50314 - NL Realty B.V.; 3.768,43 ;
21-03-2025;1100 - NL76INGB0008980173;Workforce Housing Inter-national  25800256 - Borgsom 2150 (V;100174 - Workforce Housing Holland B.V.; 4.311,24 ;
24-03-2025;1600 - Btw verkoop, hoog tarief (21%);Kierkegaardhod 54 Huizen 2025-4 4-4 + borg;100178 - Bw-engineering;; 94,50 
31-03-2025;1601 - Btw verkoop, laag tarief (9%);Van Hoofsweg 4 Nieuw Vossemeer 2025-3 + borg 29-3- ev;100151 - 4 Homes B.V.;; 31,73 
24-03-2025;1165 - Borg;Borg;50311 - Labour Housing BV;; 1.650,00 
31-03-2025;1601 - Btw verkoop, laag tarief (9%);Kethelweg 66a Vlaardingen 2025-4 + borg 4-4 ev;20 - Tradiro Services B.V.;; 199,06 
24-03-2025;1200 - Debiteuren;Marnixstraat 32 Hengelo 2025-3 25-3 + borg;50222 - Flexvesting B.V.; 3.986,80 ;
24-03-2025;1600 - Btw verkoop, hoog tarief (21%);Deugenweerd 19 Borculo 2024-3 21-3 + borg;100190 - Showtuin Nederland B.V.;; 196,35 
11-03-2025;1601 - Btw verkoop, laag tarief (9%);Venkelstraat 29a Brielle borg en afrekening;50222 - Flexvesting B.V.; 120,12 ;
14-03-2025;1200 - Debiteuren;NL Realty B.V.  710336 32264 25800626   febr borg 25800626;50314 - NL Realty B.V.;; 3.768,43 
24-03-2025;1600 - Btw verkoop, hoog tarief (21%);Amberberg 14 Roosendaal 2025-4 + borg;100151 - 4 Homes B.V.;; 152,25 
24-03-2025;1200 - Debiteuren;Inundatiestraat 3  Sas van Gent 2025-3 18-3 + borg;100176 - RNVD Industries; 4.492,18 ;
24-03-2025;1601 - Btw verkoop, laag tarief (9%);Baarsveen 197 Spijkenisse 2025-04 + borg;100153 - RNDV Industries;; 288,49 
31-03-2025;1200 - Debiteuren;Kethelweg 66a Vlaardingen 2025-4 + borg 4-4 ev;20 - Tradiro Services B.V.; 5.356,23 ;
07-03-2025;1100 - NL76INGB0008980173;holland chalet park  238-BEX10594 - huisje 357 - mrt + borg;100108 - Holland Chalet Park;; 5.130,51 
24-03-2025;1601 - Btw verkoop, laag tarief (9%);Kierkegaardhod 54 Huizen 2025-4 4-4 + borg;100178 - Bw-engineering;; 191,74 
03-03-2025;1600 - Btw verkoop, hoog tarief (21%);Noordmolenstraat 36A Schiedam, 2025-01 + borg;50251 - Vastgoed Spijkenisse;; 109,20 
11-03-2025;1600 - Btw verkoop, hoog tarief (21%);Willem de rijkelaan 134 Waddinxveen 2025-01 + borg;100126 - Timing Uitzendteam BV;; 189,00 
09-04-2025;1200 - Debiteuren;Kethelweg 66D Vlaardingen 2025-03 + borg;20 - Tradiro Services B.V.; 7.625,68 ;
08-04-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 59) Den Oever borg en afrek;100089 - Uitzendbureau Bakker B.V.;; 98,72 
09-04-2025;1200 - Debiteuren;Akkerweg 41 [huisnummer 36] Den Oever 2025-4 + borg;50175 - Autodaxx B.V.; 4.409,92 ;
09-04-2025;1200 - Debiteuren;Van Ruijsdaellaan 72C, Schiedam 2025-04 +borg;20 - Tradiro Services B.V.; 3.714,15 ;
09-04-2025;1601 - Btw verkoop, laag tarief (9%);Wagenstraat 70, Wagenberg 2025-04 + borg;20 - Tradiro Services B.V.;; 1.021,95 
02-04-2025;1200 - Debiteuren;Nieuwe Zeedijk 1K 308 HELLEVOETSLUIS borg en afrek;50430 - PMM Workforce Management Ltd; 2.944,21 ;
23-04-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 35] Den Oever 2024-4 + borg;100197 - MNA Proud Facilities B.V.;; 105,00 
09-04-2025;1600 - Btw verkoop, hoog tarief (21%);Van Ruijsdaellaan 72C, Schiedam 2025-04 +borg;20 - Tradiro Services B.V.;; 78,75 
23-04-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 17] Den Oever 2024-4 + borg;100197 - MNA Proud Facilities B.V.;; 123,09 
09-04-2025;1200 - Debiteuren;Deugenweerd 19 Borculo 2024-3 21-3 + borg;100190 - Showtuin Nederland B.V.;; 5.104,79 
02-04-2025;1600 - Btw verkoop, hoog tarief (21%);Wijngaard 66 lelystad borg en eindafrekening;50275 - M@tchm@kers International B.V.;; 335,94 
02-04-2025;1200 - Debiteuren;Akkerweg 41 [huis 75] Den Oever borg en afrek;100142 - FGM Solar Renewable S.R.L.;; 1.172,49 
09-04-2025;1601 - Btw verkoop, laag tarief (9%);Deugenweerd 19 Borculo 2024-3 21-3 + borg;100190 - Showtuin Nederland B.V.; 92,76 ;
09-04-2025;1200 - Debiteuren;Baarsveen 197 Spijkenisse 2025-04 + borg;100153 - RNDV Industries; 7.797,47 ;
02-04-2025;1600 - Btw verkoop, hoog tarief (21%);Oudewerfslaan 84 Winschoten 2025-02 + borg;50293 - Eemsdelta Housing B.V.;; 81,90 
02-04-2025;1601 - Btw verkoop, laag tarief (9%);Wijngaard 66 lelystad 2025-03 +borg;50441 - Oranjegroep Vastgoed B.V.;; 261,59 
09-04-2025;1601 - Btw verkoop, laag tarief (9%);Archimedesstraat 6B, Schiedam 2025-04 + borg;20 - Tradiro Services B.V.;; 140,40 
23-04-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 11] Den Oever 2024-4 + borg;100197 - MNA Proud Facilities B.V.;; 123,09 
09-04-2025;1600 - Btw verkoop, hoog tarief (21%);Heemskerkstraat 19 Lutjegast borg en afrek;16 - United Homes B.V.;; 95,02 
09-04-2025;1601 - Btw verkoop, laag tarief (9%);Van Ruijsdaellaan 72B, Schiedam 2025-04 + borg;20 - Tradiro Services B.V.;; 140,40 
02-04-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 75] Den Oever borg en afrek;100142 - FGM Solar Renewable S.R.L.;; 129,67 
30-04-2025;1600 - Btw verkoop, hoog tarief (21%);Johan Willem Frisostraat 36 Sneek 2025-5 + borg;33 - Team Home Rentals B.V.;; 178,50 
30-04-2025;1601 - Btw verkoop, laag tarief (9%);Johan Willem Frisostraat 36 Sneek 2025-5 + borg;33 - Team Home Rentals B.V.;; 258,75 
30-04-2025;1200 - Debiteuren;Bettingeslag 10 Emmen 2025-5 + borg;100200 - Shtan Vitaliy; 4.180,01 ;
14-04-2025;1601 - Btw verkoop, laag tarief (9%);Adriaan Baasstraat 34 Hoogeveen 2025-4 + borg 18-4 ev;50198 - InAxtion Vastgoed B.V.;; 340,22 
02-04-2025;1600 - Btw verkoop, hoog tarief (21%);Nieuwe Zeedijk 1K 308 HELLEVOETSLUIS borg en afrek;50430 - PMM Workforce Management Ltd;; 1.232,96 
09-04-2025;1200 - Debiteuren;Archimedesstraat 6B, Schiedam 2025-04 + borg;20 - Tradiro Services B.V.; 3.260,40 ;
09-04-2025;1600 - Btw verkoop, hoog tarief (21%);Wagenstraat 70, Wagenberg 2025-04 + borg;20 - Tradiro Services B.V.;; 157,50 
29-04-2025;1000 - Kas;Kanaal van Steenenhoek ZZ10 Gorinchem borg;50434 - Team Technical Services BV;; 3.575,85 
14-04-2025;1200 - Debiteuren;Kruiningenstraat 152  Rotterdam 2024-11 + borg;100141 - Multiservizi Romania SRL; 3.899,50 ;
23-04-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 11] Den Oever 2024-4 + borg;100197 - MNA Proud Facilities B.V.;; 152,25 
16-04-2025;1000 - Kas;Deugenweerd 19 Borculo 2024-3 21-3 + borg;100190 - Showtuin Nederland B.V.;; 5.104,79 
08-04-2025;1200 - Debiteuren;Akkerweg 41 [huis 59) Den Oever borg en afrek;100089 - Uitzendbureau Bakker B.V.;; 1.431,17 
09-04-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huisnummer 36] Den Oever 2025-4 + borg;50175 - Autodaxx B.V.;; 151,79 
09-04-2025;1600 - Btw verkoop, hoog tarief (21%);Deugenweerd 19 Borculo 2024-3 21-3 + borg;100190 - Showtuin Nederland B.V.; 196,35 ;
09-04-2025;1200 - Debiteuren;Baarsveen 197 Spijkenisse 2025-04 + borg;100153 - RNDV Industries;; 7.797,47 
23-04-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 17] Den Oever 2024-4 + borg;100197 - MNA Proud Facilities B.V.;; 141,75 
23-04-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 35] Den Oever 2024-4 + borg;100197 - MNA Proud Facilities B.V.;; 82,70 
09-04-2025;1200 - Debiteuren;Baarsveen 197 Spijkenisse 2025-04 + borg;100153 - RNDV Industries;; 7.797,47 
02-04-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 38] Den Oever 2025-3 + borg;100195 - FISSH B.V.;; 23,08 
02-04-2025;1200 - Debiteuren;Oudewerfslaan 84 Winschoten 2025-02 + borg;50293 - Eemsdelta Housing B.V.; 4.177,83 ;
30-04-2025;1600 - Btw verkoop, hoog tarief (21%);Bettingeslag 10 Emmen 2025-5 + borg;100200 - Shtan Vitaliy;; 115,50 
30-04-2025;1200 - Debiteuren;Johan Willem Frisostraat 36 Sneek 2025-5 + borg;33 - Team Home Rentals B.V.; 7.037,25 ;
16-04-2025;1200 - Debiteuren;Deugenweerd 19 Borculo 2024-3 21-3 + borg;100190 - Showtuin Nederland B.V.; 5.104,79 ;
29-04-2025;1200 - Debiteuren;Kanaal van Steenenhoek ZZ10 Gorinchem borg;50434 - Team Technical Services BV; 3.575,85 ;
09-04-2025;1200 - Debiteuren;Van Ruijsdaellaan 72B, Schiedam 2025-04 + borg;20 - Tradiro Services B.V.; 3.714,15 ;
30-04-2025;1601 - Btw verkoop, laag tarief (9%);Bettingeslag 10 Emmen 2025-5 + borg;100200 - Shtan Vitaliy;; 137,44 
14-04-2025;1601 - Btw verkoop, laag tarief (9%);Kruiningenstraat 152  Rotterdam 2024-11 + borg;100141 - Multiservizi Romania SRL;; 157,50 
09-04-2025;1600 - Btw verkoop, hoog tarief (21%);Kethelweg 66D Vlaardingen 2025-03 + borg;20 - Tradiro Services B.V.;; 78,75 
07-04-2025;1200 - Debiteuren;Deugenweerd 18 Broculo borg en afrek;50188 - Werckpost Service B.V.;; 1.578,08 
09-04-2025;1200 - Debiteuren;Akkerweg 41 [huis 57] Den Oever 2025-01 + borg;100138 - Fareon Z Nederland; 3.377,54 ;
23-04-2025;1200 - Debiteuren;Akkerweg 41 [huis 35] Den Oever 2024-4 + borg;100197 - MNA Proud Facilities B.V.; 3.756,60 ;
23-04-2025;1200 - Debiteuren;Akkerweg 41 [huis 17] Den Oever 2024-4 + borg;100197 - MNA Proud Facilities B.V.; 5.507,51 ;
02-04-2025;1600 - Btw verkoop, hoog tarief (21%);Wijngaard 66 lelystad 2025-03 +borg;50441 - Oranjegroep Vastgoed B.V.;; 63,87 
02-04-2025;1200 - Debiteuren;Wijngaard 66 lelystad 2025-03 +borg;50441 - Oranjegroep Vastgoed B.V.; 6.286,10 ;
09-04-2025;1600 - Btw verkoop, hoog tarief (21%);Van Ruijsdaellaan 72B, Schiedam 2025-04 + borg;20 - Tradiro Services B.V.;; 78,75 
09-04-2025;1600 - Btw verkoop, hoog tarief (21%);Van Ruijsdaellaan 72A, Schiedam 2025-03 + borg;20 - Tradiro Services B.V.;; 78,75 
09-04-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 57] Den Oever 2025-01 + borg;100138 - Fareon Z Nederland;; 115,50 
09-04-2025;1000 - Kas;Baarsveen 197 Spijkenisse 2025-04 + borg;100153 - RNDV Industries;; 7.797,47 
02-04-2025;1600 - Btw verkoop, hoog tarief (21%);Kleine Beer 60 Hoogeveen 2025-4 + borg;100174 - Workforce Housing Holland B.V.;; 245,70 
09-04-2025;1200 - Debiteuren;Van Ruijsdaellaan 72A, Schiedam 2025-03 + borg;20 - Tradiro Services B.V.; 3.714,15 ;
02-04-2025;1200 - Debiteuren;Akkerweg 41 [huis 38] Den Oever 2025-3 + borg;100195 - FISSH B.V.; 3.587,37 ;
09-04-2025;1600 - Btw verkoop, hoog tarief (21%);Baarsveen 197 Spijkenisse 2025-04 + borg;100153 - RNDV Industries; 178,50 ;
09-04-2025;1601 - Btw verkoop, laag tarief (9%);Van Ruijsdaellaan 72A, Schiedam 2025-03 + borg;20 - Tradiro Services B.V.;; 140,40 
02-04-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 38] Den Oever 2025-3 + borg;100195 - FISSH B.V.;; 122,85 
09-04-2025;1200 - Debiteuren;Heemskerkstraat 19 Lutjegast borg en afrek;16 - United Homes B.V.;; 1.552,52 
09-04-2025;1200 - Debiteuren;Wagenstraat 70, Wagenberg 2025-04 + borg;20 - Tradiro Services B.V.; 20.854,45 ;
02-04-2025;1200 - Debiteuren;Kleine Beer 60 Hoogeveen 2025-4 + borg;100174 - Workforce Housing Holland B.V.; 9.775,70 ;
09-04-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 57] Den Oever 2025-01 + borg;100138 - Fareon Z Nederland;; 141,36 
02-04-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 75] Den Oever borg en afrek;100142 - FGM Solar Renewable S.R.L.;; 29,34 
09-04-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huisnummer 36] Den Oever 2025-4 + borg;50175 - Autodaxx B.V.;; 116,55 
09-04-2025;1601 - Btw verkoop, laag tarief (9%);Baarsveen 197 Spijkenisse 2025-04 + borg;100153 - RNDV Industries; 288,49 ;
09-04-2025;1601 - Btw verkoop, laag tarief (9%);Kethelweg 66D Vlaardingen 2025-03 + borg;20 - Tradiro Services B.V.;; 386,45 
14-04-2025;1600 - Btw verkoop, hoog tarief (21%);Kruiningenstraat 152  Rotterdam 2024-11 + borg;100141 - Multiservizi Romania SRL;; 42,00 
09-04-2025;1601 - Btw verkoop, laag tarief (9%);Van Ruijsdaellaan 72C, Schiedam 2025-04 +borg;20 - Tradiro Services B.V.;; 140,40 
02-04-2025;1200 - Debiteuren;Wijngaard 66 lelystad borg en eindafrekening;50275 - M@tchm@kers International B.V.;; 814,33 
09-04-2025;1000 - Kas;Baarsveen 197 Spijkenisse 2025-04 + borg;100153 - RNDV Industries; 7.797,47 ;
14-04-2025;1200 - Debiteuren;Adriaan Baasstraat 34 Hoogeveen 2025-4 + borg 18-4 ev;50198 - InAxtion Vastgoed B.V.; 4.120,49 ;
02-04-2025;1601 - Btw verkoop, laag tarief (9%);Kleine Beer 60 Hoogeveen 2025-4 + borg;100174 - Workforce Housing Holland B.V.;; 360,00 
02-04-2025;1601 - Btw verkoop, laag tarief (9%);Oudewerfslaan 84 Winschoten 2025-02 + borg;50293 - Eemsdelta Housing B.V.;; 140,86 
23-04-2025;1200 - Debiteuren;Akkerweg 41 [huis 11] Den Oever 2024-4 + borg;100197 - MNA Proud Facilities B.V.; 5.568,01 ;
07-04-2025;1600 - Btw verkoop, hoog tarief (21%);Deugenweerd 18 Broculo borg en afrek;50188 - Werckpost Service B.V.;; 222,48 
23-05-2025;1200 - Debiteuren;Inundatiestraat 3 Sas van Gent borg en afrekening;100136 - IPS Industrial Plant Solutions Kft.; 803,37 ;
23-05-2025;1600 - Btw verkoop, hoog tarief (21%);Inundatiestraat 3 Sas van Gent borg en afrekening;100136 - IPS Industrial Plant Solutions Kft.;; 514,90 
26-05-2025;1600 - Btw verkoop, hoog tarief (21%);Enschotsestraat 163, Tilburg 2025 borg en afrekening;50396 - Head Vastgoed B.V.;; 395,85 
26-05-2025;1200 - Debiteuren;Enschotsestraat 163, Tilburg 2025 borg en afrekening;50396 - Head Vastgoed B.V.;; 2.718,81 
07-05-2025;1000 - Kas;Wijngaard 66 lelystad borg en eindafrekening;50275 - M@tchm@kers International B.V.;; 387,20 
26-05-2025;1601 - Btw verkoop, laag tarief (9%);Enschotsestraat 163, Tilburg 2025 borg en afrekening;50396 - Head Vastgoed B.V.;; 16,54 
12-05-2025;1500 - Crediteuren;holland chalet park  238-BEX10593 - huisje 348 - maart+borg;100108 - Holland Chalet Park; 3.186,81 ;
16-05-2025;1601 - Btw verkoop, laag tarief (9%);H. Algraplein 25 Franeker 2025-5 17-5 tm 31-5 + borg;100201 - Key4work B.V.;; 110,96 
07-05-2025;1200 - Debiteuren;Wijngaard 66 lelystad borg en eindafrekening;50275 - M@tchm@kers International B.V.; 387,20 ;
12-05-2025;1100 - NL76INGB0008980173;holland chalet park  238-BEX10593 - huisje 348 - maart+borg;100108 - Holland Chalet Park;; 3.186,81 
07-05-2025;1610 - Btw inkoop, hoog tarief (21%);cb homes  Zoutkamp april 2797.52 en borg 2.312 NL61INGB00067;50151 - CB-Homes B.V.; 485,52 ;
26-05-2025;1200 - Debiteuren;Pastoriedijk 89 PERNIS borg en afrekening;50448 - Focuzop-eu;; 1.957,94 
16-05-2025;1200 - Debiteuren;H. Algraplein 25 Franeker 2025-5 17-5 tm 31-5 + borg;100201 - Key4work B.V.; 4.618,24 ;
14-05-2025;1200 - Debiteuren;Malzwin 34 Lelystad borg;50275 - M@tchm@kers International B.V.;; 2.560,00 
26-05-2025;1600 - Btw verkoop, hoog tarief (21%);Pastoriedijk 89 PERNIS borg en afrekening;50448 - Focuzop-eu;; 41,96 
23-05-2025;1601 - Btw verkoop, laag tarief (9%);Inundatiestraat 3 Sas van Gent borg en afrekening;100136 - IPS Industrial Plant Solutions Kft.;; 13,34 
16-05-2025;1600 - Btw verkoop, hoog tarief (21%);H. Algraplein 25 Franeker 2025-5 17-5 tm 31-5 + borg;100201 - Key4work B.V.;; 134,40 
26-05-2025;1601 - Btw verkoop, laag tarief (9%);Pastoriedijk 89 PERNIS borg en afrekening;50448 - Focuzop-eu;; 16,54 
18-06-2025;1200 - Debiteuren;Amberberg 14 Roosendaal borg + afrek;50157 - AmDor Projecten B.V.;; 862,04 
12-06-2025;1200 - Debiteuren;Hof van Zeeland 2 Heinkenszand 2025 afrekening en borg;100176 - RNVD Industries;; 3.047,50 
24-06-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a (huis 269) Hensbroek borg en afrek;50367 - Facili Flex BV;; 174,21 
25-06-2025;1601 - Btw verkoop, laag tarief (9%);Willem de Rijkelaan 134, Waddinxveen Borg;100126 - Timing Uitzendteam BV;; 17,48 
27-06-2025;1200 - Debiteuren;Kastanjelaan 232, Bergen op Zoom Borg;50201 - DS People B.V.;; 841,41 
04-06-2025;1165 - Borg;Borg;50132 - Vaktec B.V.; 2.340,00 ;
13-06-2025;1601 - Btw verkoop, laag tarief (9%);Kerkweg 9a [huisnummer 135] Hensbroek 2025-6 13-6 + borg;50188 - Werckpost Service B.V.;; 101,19 
18-06-2025;1600 - Btw verkoop, hoog tarief (21%);Marathonlaan 26 Gouda 2025-06 + borg vanaf 25-6;100178 - Bw-engineering;; 178,50 
12-06-2025;1200 - Debiteuren;Schoonegge 110 Rotterdam 2025-06 + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN;; 6.441,73 
02-06-2025;1500 - Crediteuren;Vivir Wonen borg;29 - Vivir Wonen;; 2.050,00 
04-06-2025;1200 - Debiteuren;Akkerweg 41 [huis 57] Den Oever 2025-01 + borg;100138 - Fareon Z Nederland;; 3.377,54 
04-06-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 57] Den Oever 2025-01 + borg;100138 - Fareon Z Nederland; 141,36 ;
03-06-2025;1600 - Btw verkoop, hoog tarief (21%);Deugenweerd 18  Borculo 2025-5 + borg;50286 - Employ Facilitair B.V.;; 29,40 
04-06-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 57] Den Oever 2025-01 + borg;100138 - Fareon Z Nederland; 115,50 ;
12-06-2025;1600 - Btw verkoop, hoog tarief (21%);Jacob van Offwegenlaan 26 Rijswijk borg afrek;50222 - Flexvesting B.V.;; 243,99 
12-06-2025;1200 - Debiteuren;Acialaan 9 Pijacker borg;50398 - Orange Investments Group B.V.;; 2.795,92 
12-06-2025;1200 - Debiteuren;Schoonegge 110 Rotterdam 2025-06 + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN;; 6.441,73 
02-06-2025;1600 - Btw verkoop, hoog tarief (21%);Tholenstraat 114 Rotterdam 2025-6 + borg 6-6 ev;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN;; 127,05 
03-06-2025;1601 - Btw verkoop, laag tarief (9%);Schoonegge 110 Rotterdam 2025-06 + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN;; 236,12 
24-06-2025;1200 - Debiteuren;Kerkweg 9a (huis 349) borg en afrek;50367 - Facili Flex BV;; 2.494,49 
27-06-2025;1600 - Btw verkoop, hoog tarief (21%);Kastanjelaan 232, Bergen op Zoom Borg;50201 - DS People B.V.;; 226,00 
24-06-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a (huis 349) borg en afrek;50367 - Facili Flex BV; 126,00 ;
24-06-2025;1000 - Kas;Platostraat 80 Rotterdam borg en afrek;50398 - Orange Investments Group B.V.;; 1.219,34 
27-06-2025;1601 - Btw verkoop, laag tarief (9%);Kastanjelaan 232, Bergen op Zoom Borg;50201 - DS People B.V.;; 29,43 
24-06-2025;1601 - Btw verkoop, laag tarief (9%);Kerkweg 9a (huis 349) borg en afrek;50367 - Facili Flex BV;; 112,58 
12-06-2025;1601 - Btw verkoop, laag tarief (9%);Schoonegge 110 Rotterdam 2025-06 + borg;50159 - EU Facility Services;; 136,11 
12-06-2025;1610 - Btw inkoop, hoog tarief (21%);Fryslan Homes Rental  retour waarborgsom Voeghoutenstraat 23;; 210,00 ;
24-06-2025;1200 - Debiteuren;Wilhelminastraat 8 Stavenisse borg;35 - Interim Jobs B.V.;; 2.100,00 
02-06-2025;1200 - Debiteuren;Tholenstraat 114 Rotterdam 2025-6 + borg 6-6 ev;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN; 4.808,21 ;
03-06-2025;1200 - Debiteuren;Deugenweerd 18  Borculo 2025-5 + borg;50286 - Employ Facilitair B.V.; 3.116,49 ;
12-06-2025;1600 - Btw verkoop, hoog tarief (21%);Schoonegge 110 Rotterdam 2025-06 + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN; 127,05 ;
03-06-2025;1200 - Debiteuren;Schoonegge 110 Rotterdam 2025-06 + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN; 6.441,73 ;
12-06-2025;1200 - Debiteuren;Akkerweg 41 [huis 57] Den Oever 2025-01 + borg;100138 - Fareon Z Nederland; 3.377,54 ;
12-06-2025;1600 - Btw verkoop, hoog tarief (21%);Hof van Zeeland 2 Heinkenszand 2025 afrekening en borg;100176 - RNVD Industries;; 52,50 
24-06-2025;1601 - Btw verkoop, laag tarief (9%);Platostraat 80 Rotterdam borg en afrek;50398 - Orange Investments Group B.V.;; 11,63 
12-06-2025;1200 - Debiteuren;Schoonegge 110 Rotterdam 2025-06 + borg;50159 - EU Facility Services; 4.553,44 ;
18-06-2025;1200 - Debiteuren;Prunuslaan 36  retour dubbele borg;50282 - DIT en Larex Vakpersoneel B.V.;; 1.690,00 
02-06-2025;1100 - NL76INGB0008980173;verspui  1800 borg en 1.800 huur Baanhoek 137 Sliedrecht NL5;50243 - Dhr. R Verspui;; 3.600,00 
24-06-2025;1200 - Debiteuren;Platostraat 80 Rotterdam borg en afrek;50398 - Orange Investments Group B.V.;; 1.838,92 
12-06-2025;1601 - Btw verkoop, laag tarief (9%);Schoonegge 110 Rotterdam 2025-06 + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN; 236,12 ;
25-06-2025;1600 - Btw verkoop, hoog tarief (21%);Willem de Rijkelaan 134, Waddinxveen Borg;100126 - Timing Uitzendteam BV;; 94,68 
12-06-2025;1601 - Btw verkoop, laag tarief (9%);Socratessstraat 168 Rotterdam borg en afrek;50398 - Orange Investments Group B.V.;; 11,30 
02-06-2025;1601 - Btw verkoop, laag tarief (9%);Tholenstraat 114 Rotterdam 2025-6 + borg 6-6 ev;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN;; 159,04 
03-06-2025;1601 - Btw verkoop, laag tarief (9%);Bettingeslag 10 Emmen 2025-5 + borg;100206 - CB Construction UAB;; 33,73 
12-06-2025;1200 - Debiteuren;Jacob van Offwegenlaan 26 Rijswijk borg afrek;50222 - Flexvesting B.V.;; 384,96 
12-06-2025;1200 - Debiteuren;Schoonegge 110 Rotterdam 2025-06 + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN; 6.441,73 ;
24-06-2025;1200 - Debiteuren;Akkerweg 41 [huis 57] Den Oever 2025-04 + borg;100197 - MNA Proud Facilities B.V.; 3.217,28 ;
12-06-2025;1000 - Kas;Akkerweg 41 [huis 57] Den Oever 2025-01 + borg;100138 - Fareon Z Nederland;; 3.377,54 
24-06-2025;1200 - Debiteuren;Rivierdijk 792 borg;35 - Interim Jobs B.V.;; 1.830,00 
18-06-2025;1601 - Btw verkoop, laag tarief (9%);Marathonlaan 26 Gouda 2025-06 + borg vanaf 25-6;100178 - Bw-engineering;; 62,19 
12-06-2025;1600 - Btw verkoop, hoog tarief (21%);Schoonegge 110 Rotterdam 2025-06 + borg;50159 - EU Facility Services;; 105,00 
24-06-2025;1200 - Debiteuren;Kerkweg 9a (huis 269) Hensbroek borg en afrek;50367 - Facili Flex BV;; 1.084,24 
03-06-2025;1200 - Debiteuren;Bettingeslag 10 Emmen 2025-5 + borg;100206 - CB Construction UAB; 3.040,57 ;
03-06-2025;1600 - Btw verkoop, hoog tarief (21%);Schoonegge 110 Rotterdam 2025-06 + borg;100094 - I.T.S. SR.L. (INDUSTRIAL TECHNICAL SERVICES), BRAN;; 127,05 
